trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
57,1199463,75634531323620368261137744912110524040088627210061012336286931131040513076299,No,2026-01-24,2026-01-25,0.9995,0.9995,-17.0,0.0,0.0,1,Market resolved
58,1006892,58719878550625298503107256203979685198416062590647075610592705883102153544406,No,2026-01-24,2026-01-25,0.465,0.445,45.0,-0.9000000000000021,-4.301075268817215,1,Market resolved
59,1006891,5981467167337369508445338583735097462549984441837264656582884574156154873607,No,2026-01-24,2026-01-25,0.9765,0.9775,-21.0,-0.021000000000000796,0.0,1,Market resolved
60,1249612,114888090295963914109351233673050855877211364813285873821519059747395932553280,No,2026-01-24,2026-01-25,0.785,0.775,-26.0,0.259999999999998,0.0,1,Market resolved
61,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-24,2026-01-25,0.905,0.91,-23.0,-0.11499999999999844,0.0,1,Market resolved
62,1006892,58719878550625298503107256203979685198416062590647075610592705883102153544406,No,2026-01-25,2026-01-26,0.43,0.445,48.0,0.7199999999999989,3.48837209302325,1,Market resolved
63,1006891,5981467167337369508445338583735097462549984441837264656582884574156154873607,No,2026-01-25,2026-01-26,0.9775,0.98,-21.0,-0.05249999999999844,0.0,1,Market resolved
64,1249612,114888090295963914109351233673050855877211364813285873821519059747395932553280,No,2026-01-25,2026-01-26,0.785,0.765,-26.0,0.5199999999999996,0.0,1,Market resolved
65,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-25,2026-01-26,0.9,0.905,-23.0,-0.11500000000000199,0.0,1,Market resolved
66,1006892,58719878550625298503107256203979685198416062590647075610592705883102153544406,No,2026-01-26,2026-01-27,0.445,0.435,47.0,-0.46999999999999886,-2.24719101123595,1,Market resolved
67,1006891,5981467167337369508445338583735097462549984441837264656582884574156154873607,No,2026-01-26,2026-01-27,0.9775,0.979,-21.0,-0.031500000000001194,0.0,1,Market resolved
68,1249612,114888090295963914109351233673050855877211364813285873821519059747395932553280,No,2026-01-26,2026-01-27,0.775,0.705,-27.0,1.8900000000000006,0.0,1,Market resolved
69,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-26,2026-01-27,0.895,0.92,-23.0,-0.5749999999999993,0.0,1,Market resolved
70,1006892,58719878550625298503107256203979685198416062590647075610592705883102153544406,No,2026-01-27,2026-01-28,0.45,0.47,46.0,0.9199999999999982,4.444444444444436,1,Market resolved
71,1006891,5981467167337369508445338583735097462549984441837264656582884574156154873607,No,2026-01-27,2026-01-28,0.9805,0.973,-21.0,0.15750000000000242,0.0,1,Market resolved
72,1249612,114888090295963914109351233673050855877211364813285873821519059747395932553280,No,2026-01-27,2026-01-28,0.765,0.75,-27.0,0.40500000000000114,0.0,1,Market resolved
73,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-27,2026-01-28,0.905,0.92,-23.0,-0.34499999999999886,0.0,1,Market resolved
74,1006892,58719878550625298503107256203979685198416062590647075610592705883102153544406,No,2026-01-28,2026-01-29,0.435,0.505,48.0,3.360000000000003,16.09195402298852,1,Market resolved
75,1006891,5981467167337369508445338583735097462549984441837264656582884574156154873607,No,2026-01-28,2026-01-29,0.9775,0.9725,-21.0,0.10500000000000043,0.0,1,Market resolved
76,1249612,114888090295963914109351233673050855877211364813285873821519059747395932553280,No,2026-01-28,2026-01-29,0.705,0.865,-30.0,-4.800000000000001,0.0,1,Market resolved
77,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-28,2026-01-29,0.92,0.91,-23.0,0.23000000000000043,0.0,1,Market resolved
78,1006892,58719878550625298503107256203979685198416062590647075610592705883102153544406,No,2026-01-29,2026-01-30,0.48,0.49,44.0,0.4400000000000013,2.0833333333333397,1,Market resolved
